dataset,model,loss
delaney,conv_plus_net,0.4051726054889951
delaney,morgan_plus_linear,1.5692820056012489
delaney,conv_plus_linear,0.5781303845822547
delaney,morgan_plus_net,1.1318679786249952
delaney,mean,3.787590410822223
toxin,conv_plus_net,0.2371402906796253
toxin,morgan_plus_linear,0.24896715558447333
toxin,conv_plus_linear,0.25450084855084915
toxin,morgan_plus_net,0.2567867767932906
toxin,mean,0.4101369515587173
malaria,conv_plus_net,1.0729235409412943
malaria,morgan_plus_linear,1.1086483351073908
malaria,conv_plus_linear,1.0757068126226723
malaria,morgan_plus_net,1.258177430784024
malaria,mean,1.3823966227163011
cep,conv_plus_net,1.250611648958532
cep,morgan_plus_linear,2.518423860341708
cep,conv_plus_linear,2.096884771879929
cep,morgan_plus_net,1.9697115526231994
cep,mean,6.293137392476652
